rank,finalWorth,category,personName,age,country,source,industries,status,gender,birthDate,gdp_country,life_expectancy_country,total_tax_rate_country
1104,2700,Logistics,Alexander Skorobogatko,55,Russia,"Real estate, airport",Logistics,U,M,9/25/1967 0:00,"$1,699,876,578,871.00",72.7,46.2
1104,2700,Technology,Evan Spiegel,32,United States,Snapchat,Technology,D,M,6/4/1990 0:00,"$21,427,700,000,000.00",78.5,36.6
1104,2700,Service,Glen Taylor,81,United States,Printing,Service,U,M,4/20/1941 0:00,"$21,427,700,000,000.00",78.5,36.6
1104,2700,Media & Entertainment,Thomas Tull,52,United States,"Movies, investments",Media & Entertainment,U,M,6/11/1970 0:00,"$21,427,700,000,000.00",78.5,36.6
1104,2700,Metals & Mining,Bulat Utemuratov,65,Kazakhstan,"Mining, banking, hotels",Metals & Mining,D,M,1/1/1958 0:00,"$180,161,741,180.00",73.2,28.4
1104,2700,Food & Beverage,Gustav Magnar Witzoe,29,Norway,Fish farming,Food & Beverage,D,M,4/22/1993 0:00,"$403,336,363,636.00",82.8,36.2
1104,2700,Manufacturing,Wong Man Li,58,Hong Kong,Furniture,Manufacturing,D,M,2/12/1965 0:00,,,
1104,2700,Healthcare,Guangming Wu,61,China,Medical equipment,Healthcare,D,M,2/27/1962 0:00,"$19,910,000,000,000.00",77,59.2
1104,2700,Healthcare,Zhu Yi,59,China,Pharmaceuticals,Healthcare,N,M,12/1/1963 0:00,"$19,910,000,000,000.00",77,59.2
1164,2600,Real Estate,Ben Ashkenazy,53,United States,Real estate,Real Estate,D,M,9/23/1969 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Finance & Investments,Felix Baker,54,United States,Biotech investing,Finance & Investments,D,M,3/29/1969 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Finance & Investments,Julian Baker,56,United States,Investing,Finance & Investments,D,M,5/21/1966 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Media & Entertainment,David Baszucki,60,United States,Online games,Media & Entertainment,U,M,1/20/1963 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Food & Beverage,Joesley Batista,51,Brazil,Beef processing,Food & Beverage,D,M,2/5/1972 0:00,"$1,839,758,040,766.00",75.7,65.1
1164,2600,Food & Beverage,Wesley Batista,50,Brazil,Beef packing,Food & Beverage,D,M,12/8/1972 0:00,"$1,839,758,040,766.00",75.7,65.1
1164,2600,Media & Entertainment,Yvonne Bauer,46,Germany,"Magazines, media",Media & Entertainment,D,F,3/29/1977 0:00,"$3,845,630,030,824.00",80.9,48.8
1164,2600,Manufacturing,Miriam Baumann-Blocher,48,Switzerland,Chemicals,Manufacturing,D,F,1/1/1975 0:00,"$703,082,435,360.00",83.6,28.8
1164,2600,Healthcare,Cen Junda,58,China,Pharmaceuticals,Healthcare,U,M,6/18/1964 0:00,"$19,910,000,000,000.00",77,59.2
1164,2600,Finance & Investments,Richard Chandler,64,Singapore,Investments,Finance & Investments,U,M,1/1/1959 0:00,"$372,062,527,489.00",83.1,21
1164,2600,Manufacturing,Chen Zhiping,47,China,E-cigarettes,Manufacturing,D,M,1/1/1976 0:00,"$19,910,000,000,000.00",77,59.2
1164,2600,Service,Fernando Chico Pardo,71,Mexico,Airport management,Service,U,M,2/15/1952 0:00,"$1,258,286,717,125.00",75,55.1
1164,2600,Energy,Ray Davis,81,United States,Pipelines,Energy,U,M,12/18/1941 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Construction & Engineering,Maria Del Pino,67,Spain,Construction,Construction & Engineering,U,F,3/19/1956 0:00,"$1,394,116,310,769.00",83.3,47
1164,2600,Manufacturing,Deng Weiming & family,54,China,Battery components,Manufacturing,D,M,9/1/1968 0:00,"$19,910,000,000,000.00",77,59.2
1164,2600,Food & Beverage,"John Dorrance, III.",79,Ireland,Campbell Soup,Food & Beverage,D,M,1/1/1944 0:00,,,
1164,2600,Diversified,Carl Douglas,61,Sweden,Investments,Diversified,D,M,5/5/1961 0:00,"$530,832,908,738.00",82.5,49.1
1164,2600,Diversified,Eric Douglas,54,Sweden,Investments,Diversified,D,M,5/1/1968 0:00,"$530,832,908,738.00",82.5,49.1
1164,2600,Manufacturing,Fiona Geminder,58,Australia,Manufacturing,Manufacturing,D,F,12/1/1964 0:00,"$1,392,680,589,329.00",82.7,47.4
1164,2600,Finance & Investments,Stewart Horejsi & family,85,United States,Berkshire Hathaway,Finance & Investments,D,M,9/19/1937 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Healthcare,Hou Juncheng,58,China,Cosmetics,Healthcare,U,M,12/17/1964 0:00,"$19,910,000,000,000.00",77,59.2
1164,2600,Construction & Engineering,Zhenda Huang & family,75,China,Construction,Construction & Engineering,D,M,9/1/1947 0:00,"$19,910,000,000,000.00",77,59.2
1164,2600,Service,Dmitry Kamenshchik,54,Russia,Airport,Service,U,M,4/26/1968 0:00,"$1,699,876,578,871.00",72.7,46.2
1164,2600,Finance & Investments,Alicia Koplowitz,69,Spain,"Construction, investments",Finance & Investments,D,F,9/12/1953 0:00,"$1,394,116,310,769.00",83.3,47
1164,2600,Real Estate,Adam Kwok,40,Hong Kong,Real estate,Real Estate,U,M,4/1/1983 0:00,,,
1164,2600,Finance & Investments,Henry Laufer,77,United States,Hedge funds,Finance & Investments,U,M,8/13/1945 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Food & Beverage,Louis Le Duff,76,France,Bakeries,Food & Beverage,U,M,8/1/1946 0:00,"$2,715,518,274,227.00",82.5,60.7
1164,2600,Technology,Mark Leonard & family,66,Canada,Software,Technology,U,M,5/6/1956 0:00,"$1,736,425,629,520.00",81.9,24.5
1164,2600,Automotive,Li Guoqiang,59,China,Auto dealerships,Automotive,D,M,1/1/1964 0:00,"$19,910,000,000,000.00",77,59.2
1164,2600,Service,Li Yongxin,47,China,Education,Service,D,M,3/9/1976 0:00,"$19,910,000,000,000.00",77,59.2
1164,2600,Finance & Investments,Peter Lim,69,Singapore,Investments,Finance & Investments,U,M,6/1/1953 0:00,"$372,062,527,489.00",83.1,21
1164,2600,Diversified,Lu Weiding,52,China,Diversified,Diversified,D,M,3/1/1971 0:00,"$19,910,000,000,000.00",77,59.2
1164,2600,Service,Sergio Mantegazza,95,Switzerland,Travel,Service,D,M,10/31/1927 0:00,"$703,082,435,360.00",83.6,28.8
1164,2600,Finance & Investments,Hans Melchers,84,Netherlands,"Chemicals, investments",Finance & Investments,D,M,4/28/1938 0:00,"$909,070,395,161.00",81.8,41.2
1164,2600,Food & Beverage,C. Dean Metropoulos,76,United States,Investments,Food & Beverage,D,M,5/5/1946 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Manufacturing,Hans Georg Naeder,61,Germany,Prosthetics,Manufacturing,E,M,9/4/1961 0:00,"$3,845,630,030,824.00",80.9,48.8
1164,2600,Fashion & Retail,Falguni Nayar,60,India,Retailing,Fashion & Retail,D,F,2/19/1963 0:00,"$2,611,000,000,000.00",69.4,49.7
1164,2600,Finance & Investments,James Packer,55,United States,Investments,Finance & Investments,D,M,9/8/1967 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Logistics,Alexander Ponomarenko,58,Russia,"Real estate, airport",Logistics,U,M,10/27/1964 0:00,"$1,699,876,578,871.00",72.7,46.2
1164,2600,Finance & Investments,Nicholas Pritzker,79,United States,"Hotels, investments",Finance & Investments,D,M,1/1/1944 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Food & Beverage,Alejandro Santo Domingo,46,United States,Beer,Food & Beverage,E,M,2/13/1977 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Technology,Steven Sarowitz,57,United States,Payroll software,Technology,D,M,11/7/1965 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Automotive,Maria-Elisabeth Schaeffler-Thumann,81,Germany,Auto parts,Automotive,U,F,8/17/1941 0:00,"$3,845,630,030,824.00",80.9,48.8
1164,2600,Healthcare,Leonard Schleifer,70,United States,Pharmaceuticals,Healthcare,U,M,7/7/1952 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Manufacturing,Dieter Schnabel,77,Germany,Chemicals,Manufacturing,U,M,1/1/1946 0:00,"$3,845,630,030,824.00",80.9,48.8
1164,2600,Energy,Michael S. Smith,67,United States,Liquefied natural gas,Energy,U,M,5/9/1955 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Manufacturing,Julia Thiele-Schuerhoff,51,Germany,"Brakes, investments",Manufacturing,D,F,1/1/1972 0:00,"$3,845,630,030,824.00",80.9,48.8
1164,2600,Food & Beverage,John Tyson & family,69,United States,Food processing,Food & Beverage,D,M,9/5/1953 0:00,"$21,427,700,000,000.00",78.5,36.6
1164,2600,Manufacturing,Anna Katharina Viessmann,,Germany,Heating and cooling equipment,Manufacturing,D,F,,"$3,845,630,030,824.00",80.9,48.8
1164,2600,Construction & Engineering,Jurgen Wirtgen,57,,Construction Vehicles,Construction & Engineering,N,M,7/1/1965 0:00,,,
1164,2600,Construction & Engineering,Stefan Wirtgen,52,,Construction Vehicles,Construction & Engineering,N,M,7/1/1970 0:00,,,
1164,2600,Technology,Zhao Lixin,57,China,Electronics,Technology,D,M,1/1/1966 0:00,"$19,910,000,000,000.00",77,59.2
1164,2600,Technology,Hongyi Zhou,52,China,Security software,Technology,U,M,10/1/1970 0:00,"$19,910,000,000,000.00",77,59.2
1217,2500,Food & Beverage,S. Daniel Abraham,98,United States,Slim-Fast,Food & Beverage,U,M,8/15/1924 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Fashion & Retail,Bill Alfond,74,United States,Shoes,Fashion & Retail,D,M,5/16/1948 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Fashion & Retail,Susan Alfond,77,United States,Shoes,Fashion & Retail,D,F,7/19/1945 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Fashion & Retail,Ted Alfond,78,United States,Shoes,Fashion & Retail,D,M,8/19/1944 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Construction & Engineering,Riley Bechtel & family,71,United States,"Engineering, construction",Construction & Engineering,D,M,3/25/1952 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Diversified,Thor Bjorgolfsson,56,United Kingdom,Investments,Diversified,E,M,3/19/1967 0:00,"$2,827,113,184,696.00",81.3,30.6
1217,2500,Food & Beverage,Charles Bronfman,91,United States,Liquor,Food & Beverage,E,M,6/27/1931 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Food & Beverage,Vivek Chand Burman,85,India,Consumer goods,Food & Beverage,D,M,4/28/1937 0:00,"$2,611,000,000,000.00",69.4,49.7
1217,2500,Automotive,Herb Chambers,81,United States,Car dealerships,Automotive,U,M,1/1/1942 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Media & Entertainment,Cheng Yixiao,39,China,Video streaming app,Media & Entertainment,D,M,1/1/1984 0:00,"$19,910,000,000,000.00",77,59.2
1217,2500,Food & Beverage,Andrew Cherng,75,United States,Fast food,Food & Beverage,Split Family Fortune,M,4/2/1948 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Food & Beverage,Peggy Cherng,75,United States,Fast food,Food & Beverage,Split Family Fortune,F,12/18/1947 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Finance & Investments,Leon G. Cooperman,79,United States,Hedge funds,Finance & Investments,E,M,4/25/1943 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Manufacturing,Yadu Hari Dalmia & family,75,India,Cement,Manufacturing,U,M,6/2/1947 0:00,"$2,611,000,000,000.00",69.4,49.7
1217,2500,Food & Beverage,Henry Davis,72,United States,Beef processing,Food & Beverage,U,M,2/16/1951 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Metals & Mining,Oleg Deripaska,55,Russia,"Aluminum, utilities",Metals & Mining,U,M,1/2/1968 0:00,"$1,699,876,578,871.00",72.7,46.2
1217,2500,Technology,Sergey Dmitriev,57,Cyprus,Software,Technology,D,M,3/11/1966 0:00,"$24,564,647,935.00",80.8,22.4
1217,2500,Finance & Investments,Joseph Edelman,67,United States,Hedge funds,Finance & Investments,D,M,6/10/1955 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Manufacturing,Sandeep Engineer,61,India,Plastic pipes,Manufacturing,D,M,5/11/1961 0:00,"$2,611,000,000,000.00",69.4,49.7
1217,2500,Energy,Alceu Elias Feldmann & family,73,Brazil,Fertilizer,Energy,D,M,7/1/1949 0:00,"$1,839,758,040,766.00",75.7,65.1
1217,2500,Technology,Serge Godin,73,Canada,Information technology,Technology,U,M,11/17/1949 0:00,"$1,736,425,629,520.00",81.9,24.5
1217,2500,Finance & Investments,Alec Gores,70,United States,Private equity,Finance & Investments,D,M,3/18/1953 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Fashion & Retail,Bill Haslam,64,United States,Gas stations,Fashion & Retail,U,M,8/23/1958 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Finance & Investments,J. Tomilson Hill,74,United States,Investments,Finance & Investments,D,M,5/24/1948 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Media & Entertainment,Jay-Z,53,United States,Music,Media & Entertainment,U,M,12/4/1969 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Automotive,Baba Kalyani,74,India,Engineering,Automotive,E,M,1/7/1949 0:00,"$2,611,000,000,000.00",69.4,49.7
1217,2500,Energy,Saban Cemil Kazanci,62,Turkey,Energy,Energy,R,M,2/13/1961 0:00,"$754,411,708,203.00",77.4,42.3
1217,2500,Real Estate,Brad Kelley,66,United States,Tobacco,Real Estate,D,M,12/23/1956 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Construction & Engineering,Wolfgang Leitner,70,Austria,Engineering,Construction & Engineering,U,M,3/27/1953 0:00,"$446,314,739,528.00",81.6,51.4
1217,2500,Manufacturing,Li Hongxin & family,70,China,Paper & related products,Manufacturing,D,M,3/7/1953 0:00,"$19,910,000,000,000.00",77,59.2
1217,2500,Real Estate,Lin Chen-hai,76,Taiwan,Real estate,Real Estate,D,M,3/1/1947 0:00,,,
1217,2500,Fashion & Retail,Lu Yiwen,36,China,Jewelry,Fashion & Retail,D,F,1/1/1987 0:00,"$19,910,000,000,000.00",77,59.2
1217,2500,Food & Beverage,Prayudh Mahagitsiri,77,Thailand,"Coffee, shipping",Food & Beverage,U,M,1/1/1946 0:00,"$543,649,976,166.00",76.9,29.5
1217,2500,Healthcare,Willy Michel,76,Switzerland,Medical devices,Healthcare,E,M,1/1/1947 0:00,"$703,082,435,360.00",83.6,28.8
1217,2500,Automotive,Lachhman Das Mittal,92,India,Tractors,Automotive,E,M,11/5/1930 0:00,"$2,611,000,000,000.00",69.4,49.7
1217,2500,Technology,Bobby Murphy,34,United States,Snapchat,Technology,D,M,7/19/1988 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Real Estate,Tomas Olivo Lopez,49,Spain,Shopping centers,Real Estate,U,M,1/1/1974 0:00,"$1,394,116,310,769.00",83.3,47
1217,2500,Manufacturing,Eren Ozmen,64,United States,Aerospace,Manufacturing,D,F,9/3/1958 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Finance & Investments,John Pritzker,69,United States,"Hotels, investments",Finance & Investments,D,M,8/10/1953 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Technology,Qiu Minxiu,77,China,Semiconductors,Technology,E,F,9/17/1945 0:00,"$19,910,000,000,000.00",77,59.2
1217,2500,Diversified,Ferit Faik Sahenk,59,Turkey,Diversified,Diversified,U,M,3/18/1964 0:00,"$754,411,708,203.00",77.4,42.3
1217,2500,Metals & Mining,Wenrong Shen,77,China,Steel production,Metals & Mining,U,M,2/13/1946 0:00,"$19,910,000,000,000.00",77,59.2
1217,2500,Diversified,Yuzhu Shi,60,China,"Online games, investments",Diversified,D,M,9/1/1962 0:00,"$19,910,000,000,000.00",77,59.2
1217,2500,Real Estate,Jeff Sutton,63,United States,Real estate,Real Estate,D,M,1/17/1960 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Diversified,"Henry Sy, Jr.",69,Philippines,Diversified,Diversified,D,M,1/1/1954 0:00,"$376,795,508,680.00",71.1,43.1
1217,2500,Diversified,Andrew Tan,71,Philippines,Diversified,Diversified,D,M,2/1/1952 0:00,"$376,795,508,680.00",71.1,43.1
1217,2500,Energy,Arvind Tiku,53,Singapore,"Oil & gas, investments",Energy,U,M,2/22/1970 0:00,"$372,062,527,489.00",83.1,21
1217,2500,Finance & Investments,Byron Trott,64,United States,Investments,Finance & Investments,U,M,12/2/1958 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Real Estate,Donald Trump,76,United States,Real estate,Real Estate,D,M,6/14/1946 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Automotive,Peter Unger,78,Germany,Auto repair,Automotive,U,M,8/20/1944 0:00,"$3,845,630,030,824.00",80.9,48.8
1217,2500,Fashion & Retail,Roger Wang,74,China,Retail,Fashion & Retail,D,M,1/1/1949 0:00,"$19,910,000,000,000.00",77,59.2
1217,2500,Media & Entertainment,Oprah Winfrey,69,United States,TV shows,Media & Entertainment,D,F,1/29/1954 0:00,"$21,427,700,000,000.00",78.5,36.6
1217,2500,Food & Beverage,Wu Zhigang & family,88,China,Bakery chain,Food & Beverage,D,M,1/14/1935 0:00,"$19,910,000,000,000.00",77,59.2
1217,2500,Metals & Mining,Xie Weitong,66,Singapore,Cobalt,Metals & Mining,D,M,1/1/1957 0:00,"$372,062,527,489.00",83.1,21
1217,2500,Fashion & Retail,Ye Guofu,45,China,Retail,Fashion & Retail,R,M,1/1/1978 0:00,"$19,910,000,000,000.00",77,59.2
1272,2400,Technology,Brian Acton,51,United States,WhatsApp,Technology,D,M,2/17/1972 0:00,"$21,427,700,000,000.00",78.5,36.6
1272,2400,Automotive,Abdulla Al Futtaim & family,83,United Arab Emirates,"Auto dealers, investments",Automotive,D,M,1/1/1940 0:00,"$421,142,267,938.00",77.8,15.9
1272,2400,Energy,Edward Bass,77,United States,"Oil, investments",Energy,E,M,9/10/1945 0:00,"$21,427,700,000,000.00",78.5,36.6
1272,2400,Media & Entertainment,Koos Bekker,70,South Africa,"Media, investments",Media & Entertainment,U,M,12/14/1952 0:00,"$351,431,649,241.00",63.9,29.2
1272,2400,Healthcare,Otto Philipp Braun,45,Germany,Medical technology,Healthcare,D,M,1/1/1978 0:00,"$3,845,630,030,824.00",80.9,48.8
1272,2400,Fashion & Retail,Chen Tei-fu,74,United States,Herbal products,Fashion & Retail,D,M,4/19/1948 0:00,"$21,427,700,000,000.00",78.5,36.6
1272,2400,Fashion & Retail,Abilio dos Santos Diniz,86,Brazil,Retail,Fashion & Retail,D,M,12/28/1936 0:00,"$1,839,758,040,766.00",75.7,65.1
1272,2400,Finance & Investments,Marcel Erni,58,Switzerland,Private equity,Finance & Investments,D,M,1/1/1965 0:00,"$703,082,435,360.00",83.6,28.8
1272,2400,Fashion & Retail,Doris Fisher,91,United States,Gap,Fashion & Retail,D,F,8/23/1931 0:00,"$21,427,700,000,000.00",78.5,36.6
1272,2400,Finance & Investments,Gerald Ford,78,United States,Banking,Finance & Investments,D,M,8/4/1944 0:00,"$21,427,700,000,000.00",78.5,36.6
1272,2400,Healthcare,Bernard Fraisse & family,66,France,Pharmaceuticals,Healthcare,E,M,8/10/1956 0:00,"$2,715,518,274,227.00",82.5,60.7
1272,2400,Finance & Investments,Alfred Gantner,55,Switzerland,Private equity,Finance & Investments,D,M,4/1/1968 0:00,"$703,082,435,360.00",83.6,28.8
1272,2400,Gambling & Casinos,Paul Gauselmann & family,88,Germany,Gambling,Gambling & Casinos,D,M,8/26/1934 0:00,"$3,845,630,030,824.00",80.9,48.8
1272,2400,Real Estate,Mitchell Goldhar,61,Canada,Real estate,Real Estate,D,M,7/15/1961 0:00,"$1,736,425,629,520.00",81.9,24.5
1272,2400,Finance & Investments,Peter Hargreaves,76,United Kingdom,Financial services,Finance & Investments,D,M,10/5/1946 0:00,"$2,827,113,184,696.00",81.3,30.6
1272,2400,Healthcare,Xuande Hua & family,79,China,Pharmaceuticals,Healthcare,D,M,10/30/1943 0:00,"$19,910,000,000,000.00",77,59.2
1272,2400,Diversified,Kwek Leng Kee,68,Singapore,Diversified,Diversified,U,M,1/1/1955 0:00,"$372,062,527,489.00",83.1,21
1272,2400,Manufacturing,Catherine Lozick,77,United States,Valve manufacturing,Manufacturing,U,F,5/1/1945 0:00,"$21,427,700,000,000.00",78.5,36.6
1272,2400,Media & Entertainment,Kalanithi Maran,57,India,Media,Media & Entertainment,E,M,7/26/1965 0:00,"$2,611,000,000,000.00",69.4,49.7
1272,2400,Finance & Investments,Jed McCaleb,48,United States,Cryptocurrency,Finance & Investments,D,M,1/1/1975 0:00,"$21,427,700,000,000.00",78.5,36.6
1272,2400,Manufacturing,Fatih Ozmen,65,United States,Aerospace,Manufacturing,D,M,2/2/1958 0:00,"$21,427,700,000,000.00",78.5,36.6
1272,2400,Food & Beverage,Pan Laican,,China,Soy sauce,Food & Beverage,D,M,,"$19,910,000,000,000.00",77,59.2
1272,2400,Metals & Mining,Tor Peterson,58,Switzerland,Commodities,Metals & Mining,D,M,8/7/1964 0:00,"$703,082,435,360.00",83.6,28.8
1272,2400,Finance & Investments,Daniel Pritzker,63,United States,"Hotels, investments",Finance & Investments,D,M,9/15/1959 0:00,"$21,427,700,000,000.00",78.5,36.6
1272,2400,Real Estate,Jinxing Qi,61,China,Real estate,Real Estate,U,M,3/28/1962 0:00,"$19,910,000,000,000.00",77,59.2
1272,2400,Manufacturing,Qiu Jianping & family,61,China,Hand tools,Manufacturing,U,M,1/28/1962 0:00,"$19,910,000,000,000.00",77,59.2
1272,2400,Diversified,Rajan Raheja & family,68,India,Diversified,Diversified,E,M,6/1/1954 0:00,"$2,611,000,000,000.00",69.4,49.7
1272,2400,Finance & Investments,Matthias Reinhart,63,Switzerland,Financial services,Finance & Investments,D,M,1/1/1960 0:00,"$703,082,435,360.00",83.6,28.8
1272,2400,Technology,Arnout Schuijff,55,Netherlands,Payments software,Technology,D,M,10/16/1967 0:00,"$909,070,395,161.00",81.8,41.2
1272,2400,Diversified,Hans Sy,67,Philippines,Diversified,Diversified,D,M,9/29/1955 0:00,"$376,795,508,680.00",71.1,43.1
1272,2400,Diversified,Herbert Sy,66,Philippines,Diversified,Diversified,D,M,10/1/1956 0:00,"$376,795,508,680.00",71.1,43.1
1272,2400,Diversified,Lucio Tan,88,Philippines,Diversified,Diversified,U,M,7/17/1934 0:00,"$376,795,508,680.00",71.1,43.1
1272,2400,Technology,Tsai Ming-kai,72,Taiwan,Semiconductors,Technology,D,M,4/6/1950 0:00,,,
1272,2400,Media & Entertainment,Ted Turner,84,United States,Cable television,Media & Entertainment,U,M,11/19/1938 0:00,"$21,427,700,000,000.00",78.5,36.6
1272,2400,Real Estate,David Walentas,84,United States,Real estate,Real Estate,U,M,8/7/1938 0:00,"$21,427,700,000,000.00",78.5,36.6
1272,2400,Finance & Investments,Urs Wietlisbach,61,Switzerland,Private equity,Finance & Investments,D,M,8/25/1961 0:00,"$703,082,435,360.00",83.6,28.8
1272,2400,Technology,Jerry Yang,54,United States,Yahoo,Technology,D,M,11/6/1968 0:00,"$21,427,700,000,000.00",78.5,36.6
1272,2400,Manufacturing,Yang Jianliang & family,53,China,Machinery,Manufacturing,D,M,6/1/1969 0:00,"$19,910,000,000,000.00",77,59.2
1272,2400,Manufacturing,Yang Weidong & family,54,China,Chemicals,Manufacturing,D,M,9/9/1968 0:00,"$19,910,000,000,000.00",77,59.2
1272,2400,Real Estate,Mortimer Zuckerman,85,United States,"Real estate, media",Real Estate,D,M,6/4/1937 0:00,"$21,427,700,000,000.00",78.5,36.6
1312,2300,Finance & Investments,John Armitage,63,United Kingdom,Hedge funds,Finance & Investments,D,M,12/1/1959 0:00,"$2,827,113,184,696.00",81.3,30.6
1312,2300,Energy,Lee Bass,66,United States,"Oil, investments",Energy,U,M,5/24/1956 0:00,"$21,427,700,000,000.00",78.5,36.6
1312,2300,Technology,John Bicket,43,United States,Sensor systems,Technology,U,M,3/20/1980 0:00,"$21,427,700,000,000.00",78.5,36.6
1312,2300,Technology,Sanjit Biswas,41,United States,Sensor systems,Technology,U,M,1/12/1982 0:00,"$21,427,700,000,000.00",78.5,36.6
1312,2300,Fashion & Retail,Timothy Boyle,73,United States,Columbia Sportswear,Fashion & Retail,E,M,9/7/1949 0:00,"$21,427,700,000,000.00",78.5,36.6
1312,2300,Technology,Morris Chang,91,Taiwan,Semiconductors,Technology,D,M,7/10/1931 0:00,,,
1312,2300,Real Estate,Chao Teng-hsiung,78,Taiwan,Real estate,Real Estate,D,M,10/4/1944 0:00,,,
1312,2300,Finance & Investments,Samuel Chen,73,,Investments,Finance & Investments,N,M,1/1/1950 0:00,,,
1312,2300,Manufacturing,Chu Lam Yiu,53,Hong Kong,Flavorings,Manufacturing,E,F,12/1/1969 0:00,,,
1312,2300,Technology,K. Dinesh,68,India,Software services,Technology,D,M,6/6/1954 0:00,"$2,611,000,000,000.00",69.4,49.7
1312,2300,Diversified,James Duff,62,United States,"Tires, diversified",Diversified,U,M,3/7/1961 0:00,"$21,427,700,000,000.00",78.5,36.6
1312,2300,Diversified,Thomas Duff,66,United States,"Tires, diversified",Diversified,U,M,12/31/1956 0:00,"$21,427,700,000,000.00",78.5,36.6
1312,2300,Technology,Daniel Ek,40,Sweden,Spotify,Technology,D,M,2/21/1983 0:00,"$530,832,908,738.00",82.5,49.1
1312,2300,Fashion & Retail,John Fisher,61,United States,Gap,Fashion & Retail,D,M,6/1/1961 0:00,"$21,427,700,000,000.00",78.5,36.6
1312,2300,Fashion & Retail,Georg Haub,61,Germany,Retail,Fashion & Retail,U,M,1/1/1962 0:00,"$3,845,630,030,824.00",80.9,48.8
1312,2300,Construction & Engineering,Erman Ilicak,55,Turkey,Construction,Construction & Engineering,E,M,10/3/1967 0:00,"$754,411,708,203.00",77.4,42.3
1312,2300,Finance & Investments,Justin Ishbia,45,United States,Private equity,Finance & Investments,U,M,9/18/1977 0:00,"$21,427,700,000,000.00",78.5,36.6
1312,2300,Technology,Long Jiang,49,China,Manufacturing,Technology,U,M,2/1/1974 0:00,"$19,910,000,000,000.00",77,59.2
1312,2300,Finance & Investments,Bruce Karsh,67,United States,Private equity,Finance & Investments,U,M,10/10/1955 0:00,"$21,427,700,000,000.00",78.5,36.6
1312,2300,Technology,Bom Kim,44,South Korea,Online retailing,Technology,D,M,10/1/1978 0:00,"$2,029,000,000,000.00",82.6,33.2
1312,2300,Food & Beverage,Jianping Lai,,China,Soy sauce,Food & Beverage,D,M,,"$19,910,000,000,000.00",77,59.2
1312,2300,Healthcare,Lam Kong,58,Hong Kong,Pharmaceuticals,Healthcare,D,M,6/15/1964 0:00,,,
1312,2300,Finance & Investments,Stephen Lansdown,70,Guernsey,Financial services,Finance & Investments,D,M,8/30/1952 0:00,,,
1312,2300,Fashion & Retail,Kevin David Lehmann,20,,Drugstores,Fashion & Retail,D,M,9/1/2002 0:00,,,
1312,2300,Food & Beverage,Li Haiyan,,China,Restaurants,Food & Beverage,U,F,,"$19,910,000,000,000.00",77,59.2
1312,2300,Finance & Investments,Hua Li,45,China,Financial services,Finance & Investments,U,M,1/1/1978 0:00,"$19,910,000,000,000.00",77,59.2
1312,2300,Gambling & Casinos,Lim Kok Thay,71,Malaysia,Casinos,Gambling & Casinos,U,M,8/16/1951 0:00,"$364,701,517,788.00",76,38.7
1312,2300,Food & Beverage,Kishore Mariwala,88,India,Consumer goods,Food & Beverage,D,M,2/14/1935 0:00,"$2,611,000,000,000.00",69.4,49.7
